Rank,Name,Time,Points
1,Audun Saetermo,1:08.80,444
2,Collin Neely,1:09.27,435
3,Ben Szydlowski,1:13.64,362
4,Eli Mull,1:14.16,354
5,Zachary VanderPloeg,1:15.23,339
6,Adam Legal,1:21.86,263
7,Jacob Irwin,1:21.87,263
8,Jose Miguel Melendez,1:22.35,259
9,Alex Bretz,1:38.18,152
