Rank,Name,Time
1,Saint Johns (A),3:41.17
2,Saint Johns (A),3:48.13
3,Saint Johns (A),3:50.82
3,Saint Johns (A),3:50.82
5,Saint Johns (A),3:52.72
6,Saint Johns (A),3:54.03
7,Saint Johns (B),4:13.11
8,Saint Johns (A),4:28.78
9,Saint Johns (B),4:31.24
10,Saint Johns (B),4:33.94
11,Saint Johns (B),4:48.99
