Rank,Name,Time,Points
1,Preston Longoria,5:18.04,494
2,Brayden Hirschman,5:20.39,483
3,Koy Grams,5:31.86,435
4,Maximus Leasher,5:40.96,401
5,Shane Van Abel,5:43.54,392
6,James Davis,6:40.16,248
