Rank,Name,Time,Points
1,Chase Johnson,57.85,503
2,Clayton Myers,1:00.45,441
3,Peter McKinney,1:00.99,429
4,Zander Collins,1:01.71,414
5,Liam Osbun,1:02.34,402
6,Seth Amoguis,1:02.42,400
7,Casey Sparks,1:04.55,362
8,Tazio LeVeque,1:07.19,321
9,Jack Wieger,1:10.28,280
10,Hunter Medes,1:14.13,239
11,Collin Hoag,1:19.24,195
