Rank,Name,Time,Points
1,Liam Osbun,1:45.82,677
2,Tazio LeVeque,1:56.18,511
3,Peter McKinney,1:57.06,500
4,Seth Amoguis,1:57.96,488
5,Zander Collins,2:05.20,408
6,Clayton Myers,2:05.92,401
7,Jack Wieger,2:12.51,344
8,Hunter Medes,2:20.32,290
9,Paul Kelley,2:26.18,256
10,Jack McNea,2:26.30,256
11,Andrew Langley,2:28.88,243
