Rank,Name,Time,Points
1,Jack Crotteau,55.07,583
2,Hugh Hankenson,57.59,510
3,Shea Rudy,59.80,455
4,Maksen Mecher,1:00.61,437
5,Gunnar Gresens,1:01.19,425
6,Kai Spicer,1:02.32,402
7,John Bellon,1:03.79,375
8,Alden Delgado,1:09.35,292
9,Esteban Sanchez Sink,1:09.98,284
10,Donald Keough,1:15.93,222
11,Ethan Hoort,1:33.96,117
