Rank,Name,Time,Points
1,Esteban Sanchez Sink,5:18.27,493
2,Maksen Mecher,5:31.62,436
3,Kai Spicer,5:31.74,435
4,Jack Crotteau,5:42.20,396
5,John Bellon,5:45.41,386
6,Hugh Hankenson,5:54.24,357
7,Matt Thompson,6:03.45,331
8,Donald Keough,6:32.53,263
9,Henry Menzies,6:45.34,238
10,Kevin Caballero,6:46.97,236
11,Mitchell Roberts,7:05.53,206
12,Owen Singel-Fletcher,7:22.84,183
13,Gunnar Gresens,7:23.24,182
14,Adrien LaFaive,7:31.59,172
